ㆡ	YJ.YJ	zz
ㆨ	OsA.OsA	ir
ㆦ	AIZm.AIZm	oo
ㆤ	YZA.YZA	e
ㆩ	UdIJ.UdIJ	na
ㆧ	AIZmJ.AIZJ	no
ㆥ	YZAJ.YZAJ	ne
ㆪ	AJ.AJ	ni
ㆳ	IJ.IJ	ni
ㆫ	OsJ.OsJ	nu
ㆮ	AZMJ.AZMJ	nai
ㆯ	ZZJ.ZZJ	nau
ㆰ	UdLdI.UdLI	am
ㆱ	ALdIH.ALIH	om
ㆲ	Bi.Bi	ong
ㆬ	LdI.LdI	m
ㆭ	GrI.GrI	ng
ㆴ	Ry.Ry	-p
ㆵ	MYd.MYd	-t
ㆻ	Zd.Zd	-k
ㆶ	AZ.AZ	-k*
ㆷ	Gg.Gg	-h
ㆼ	Zm.Zm	gw
ㆽ	AZm.AZm	kw
ㆾ	ZA.ZA	eo
ㆿ	O.O	a
ア	YM.YM
イ	N.N
ウ	IIY.IIY
エ	Bi.Bi
オ	DM.DM
カ	Ym.Ym
キ	Bi.Bi
ク	R.R
ケ	MaM.MaM
コ	X.X
サ	EdM.EdM
シ	TdA.TdA
ス	RsA.RsA
セ	YzA.YzA
ソ	Td.Td
タ	Rs.Rs
チ	MGd.MGd
ツ	TdM.TdM
テ	BdM.BdM
ト	Id.Id
ナ	Gd.Gd
ニ	Bd.Bd
ヌ	Xs.Xs
ネ	Ws.Ws
ノ	Y.Y
ハ	O.O
ヒ	Rr.Rr
フ	Y.Y
ヘ	Yda.Yda
ホ	F.F
マ	YS.YS
ミ	V.V
ム	Zs.Zs
メ	Xo.Xo
モ	AHd.AHd
ヤ	YI.YI
ユ	X.X
ヨ	Xb.Xb
ラ	AY.AY
リ	Kd.Kd
ル	Rd.Rd
レ	Z.Z
ロ	J.J
ワ	IY.IY
ヰ	Mb.Mb
ヱ	YIA.YIA
ヲ	YA.YA
ン	SA.SA
a	A.A
b	B.B
c	C.C
d	D.D
e	E.E
f	F.F
g	G.G
j	J.J
h	H.H
i	I.I
j	J.J
k	K.K
l	L.L
m	M.M
n	N.N
o	O.O
p	P.P
q	Q.Q
r	R.R
s	S.S
t	T.T
u	U.U
v	V.V
w	W.W
x	X.X
y	Y.Y
z	Z.Z
A	A.A
B	B.B
C	C.C
D	D.D
E	E.E
F	F.F
G	G.G
J	J.J
H	H.H
I	I.I
J	J.J
K	K.K
L	L.L
M	M.M
N	N.N
O	O.O
P	P.P
Q	Q.Q
R	R.R
S	S.S
T	T.T
U	U.U
V	V.V
W	W.W
X	X.X
Y	Y.Y
Z	Z.Z
ぁ	Xa.Xa
あ	Xa.Xa
ぃ	Xi.Xi
い	Xi.Xi
ぅ	Xu.Xu
う	Xu.Xu
ぇ	Xe.Xe
え	Xe.Xe
ぉ	Xo.Xo
お	Xo.Xo
か	Ka.Ka
が	Ga.Ga
き	Ki.Ki
ぎ	Gi.Gi
く	Ku.Ku
ぐ	Gu.Gu
け	Ke.Ke
げ	Ge.Ge
こ	Ko.Ko
ご	Go.Go
さ	Sa.Sa
ざ	Za.Za
し	Si.Si
じ	Zi.Zi
す	Su.Su
ず	Zu.Zu
せ	Se.Se
ぜ	Ze.Ze
そ	So.So
ぞ	Zo.Zo
た	Ta.Ta
だ	Da.Da
ち	Ti.Ti
